,user_id,item_id,rating,timestamp
47528,1281,5180,5,1255996800
18258,1281,2010,4,1255996800
19558,1281,2160,5,1255996800
38292,1281,4227,3,1255996800
38799,1281,4282,4,1255996800
18591,1281,2053,5,1258243200
40973,1281,4522,5,1308355200
4821,1281,544,5,1339459200
27313,1281,3016,5,1339459200
40023,1281,4429,5,1388102400
35615,1185,3921,5,1360713600
19807,1185,2183,5,1360713600
21197,1185,2327,5,1360713600
22633,1185,2501,4,1388620800
6792,1185,763,4,1388620800
7314,1185,829,4,1388620800
24270,1185,2654,4,1388620800
7092,1141,797,5,1347408000
25146,1141,2754,5,1365206400
7214,1141,811,3,1366848000
29233,1141,3229,4,1366848000
15070,1141,1675,5,1370044800
30371,1141,3351,5,1375142400
49138,1141,5378,5,1375660800
31139,1141,3456,5,1375660800
46985,1141,5132,3,1376611200
25724,1141,2832,4,1383609600
25103,1141,2746,5,1384300800
19058,1141,2099,2,1385596800
11848,1141,1335,5,1388534400
29468,1141,3249,5,1388534400
28923,1141,3190,5,1388534400
49627,1141,5430,2,1389571200
12718,1141,1423,5,1391817600
25402,1141,2782,5,1391817600
30045,1141,3312,5,1397606400
22240,1141,2453,5,1397606400
32458,1141,3584,5,1398211200
20287,2459,2235,5,1324252800
49051,2459,5365,5,1326240000
39038,2459,4314,4,1353283200
29805,2459,3292,4,1354060800
27273,2459,3010,4,1354752000
19057,2459,2099,5,1355184000
13788,2459,1541,1,1355184000
20232,2459,2229,5,1355184000
1533,2459,179,5,1355184000
31694,2459,3512,5,1355184000
20670,2459,2267,5,1355184000
47859,2459,5223,5,1355184000
37495,2459,4130,5,1355184000
4034,2459,448,5,1355184000
34464,2459,3803,5,1355184000
29162,2459,3223,4,1355875200
18458,2459,2038,5,1356307200
4286,2459,473,5,1356393600
46779,2459,5117,4,1356393600
30909,2459,3428,4,1364860800
5396,2459,608,5,1372809600
43252,2459,4758,4,1374105600
17285,2459,1922,4,1377475200
24610,2459,2695,4,1377993600
44355,2459,4887,4,1379289600
30846,2459,3420,5,1379635200
12084,2459,1363,5,1379980800
38855,2459,4290,4,1381017600
25447,2459,2789,4,1381190400
34357,2459,3787,5,1381190400
46253,2459,5072,4,1381363200
50410,2459,5519,5,1381968000
45693,2459,5019,5,1381968000
26486,2459,2915,5,1382400000
47890,2459,5226,3,1382572800
32189,2459,3550,4,1383523200
28563,2459,3157,5,1385424000
3590,2459,392,4,1386201600
14679,2459,1625,3,1386547200
42601,2459,4691,4,1387411200
46510,2439,5094,5,1356048000
1210,2439,139,5,1356048000
19056,2439,2099,5,1356048000
31562,2439,3498,5,1356048000
35413,2439,3907,5,1356048000
35845,2439,3950,5,1356048000
2470,2338,286,5,1358035200
14838,2338,1647,5,1396137600
32223,2338,3556,1,1396137600
43339,2338,4767,1,1396137600
41975,2338,4628,5,1396137600
19055,2338,2099,5,1396137600
43498,2338,4790,5,1396137600
19409,2338,2144,5,1396137600
47692,954,5200,4,1258416000
19054,954,2099,4,1281052800
6848,954,768,4,1314662400
42355,954,4663,4,1319673600
27681,954,3051,2,1344556800
41558,954,4585,5,1351123200
40206,954,4446,4,1361577600
29063,954,3205,4,1362700800
3054,954,341,5,1364342400
37688,947,4157,5,1110758400
17002,947,1888,5,1110758400
7190,947,807,5,1110758400
10173,947,1161,5,1110844800
19053,947,2099,4,1110844800
33546,947,3696,5,1110844800
33628,947,3703,4,1110844800
889,947,101,4,1110844800
15619,925,1742,4,1279238400
4011,925,445,5,1325116800
23239,925,2563,5,1330387200
31277,925,3471,5,1331856000
18218,925,2006,5,1332547200
21924,925,2414,5,1335744000
20053,925,2209,5,1340755200
45873,925,5036,5,1349222400
24571,925,2692,5,1351900800
32287,925,3560,5,1354665600
19626,925,2162,5,1354665600
6891,925,773,5,1354665600
23975,925,2623,5,1356912000
28273,925,3123,5,1358121600
9,925,1,5,1358121600
1389,925,165,3,1358294400
50847,925,5574,4,1358294400
42811,925,4712,5,1358294400
49228,925,5388,4,1358380800
19052,925,2099,5,1359676800
20091,2280,2211,3,1358380800
2945,2280,325,2,1386633600
23538,2280,2598,3,1386633600
19051,2280,2099,3,1386633600
46698,2280,5111,5,1386633600
21776,2280,2402,4,1386633600
17199,2280,1912,5,1386633600
17315,2280,1925,4,1386633600
31465,2280,3488,4,1386633600
15725,2280,1757,5,1386633600
6312,2280,721,5,1386633600
14283,2280,1592,3,1386633600
11630,2280,1309,4,1386633600
16359,2280,1826,4,1386633600
34719,2280,3835,3,1386633600
42749,2280,4707,3,1386633600
1571,777,185,5,1097107200
19050,777,2099,4,1097107200
8815,777,1002,5,1317254400
2343,777,276,3,1342224000
23150,777,2551,5,1342915200
16838,777,1875,5,1352592000
40179,777,4444,4,1353024000
15980,777,1786,4,1360627200
34252,777,3773,4,1376265600
34759,777,3839,3,1377820800
162,1930,24,5,1096329600
30362,1930,3351,5,1096329600
19049,1930,2099,4,1096329600
37685,1930,4157,5,1098921600
45171,1930,4967,5,1134950400
19365,1930,2138,3,1164067200
27730,1930,3057,5,1164844800
13754,533,1539,5,1098835200
20265,533,2234,5,1098835200
32804,533,3619,5,1098835200
37981,533,4200,4,1105574400
29681,533,3279,5,1105574400
35281,533,3890,5,1185408000
6985,533,785,5,1324425600
19048,533,2099,1,1356739200
39773,1654,4389,5,1351728000
19047,1654,2099,5,1354233600
14886,1654,1653,5,1354233600
11384,1654,1290,5,1356566400
22820,1654,2521,5,1356566400
17828,1654,1970,5,1356566400
46829,1654,5121,5,1393372800
42731,1654,4707,5,1393372800
13839,226,1549,5,1009497600
16997,226,1888,5,1081814400
159,226,24,5,1081814400
24860,226,2717,5,1081814400
37684,226,4157,3,1081814400
19046,226,2099,2,1081814400
7885,226,894,5,1081814400
43850,226,4835,3,1081814400
30731,226,3402,5,1081987200
7941,226,899,3,1081987200
16996,2893,1888,5,1398297600
19045,2893,2099,4,1398297600
18980,2893,2094,4,1398297600
27774,2893,3061,4,1398297600
8522,2893,972,5,1398297600
43578,2893,4805,5,1398384000
11586,2893,1309,4,1398384000
16427,2893,1839,4,1398384000
4329,2893,476,5,1398816000
33011,119,3640,1,1224720000
35151,119,3882,3,1292284800
23981,119,2624,1,1318204800
19044,119,2099,1,1319241600
29608,119,3270,3,1330300800
21299,119,2347,2,1342224000
2446,119,286,5,1343779200
41232,119,4554,5,1343779200
9769,119,1127,2,1343779200
6370,119,726,4,1347235200
41720,119,4600,5,1348099200
9509,119,1092,5,1350864000
13920,119,1556,5,1350864000
32256,119,3560,4,1355875200
8317,119,947,4,1355875200
10515,119,1194,5,1357516800
45367,119,4996,5,1357516800
17849,119,1972,5,1369008000
31814,119,3525,5,1370217600
33938,119,3730,4,1372550400
21684,119,2390,2,1372809600
46587,119,5102,4,1373500800
36787,119,4053,3,1376006400
19768,119,2179,4,1377561600
44699,119,4929,4,1377561600
1823,119,217,5,1379980800
50150,119,5492,5,1382572800
9817,119,1128,5,1383782400
29929,1450,3305,2,1275177600
24933,1450,2726,1,1276041600
23174,1450,2555,5,1276128000
23213,1450,2560,5,1276128000
4636,1450,517,5,1276214400
13014,1450,1456,3,1283212800
11729,1450,1316,5,1283299200
44964,1450,4950,3,1283299200
35405,1450,3905,4,1283644800
4735,1450,527,5,1284076800
25706,1450,2832,4,1288656000
25217,1450,2768,1,1292284800
22518,1450,2488,1,1292457600
48963,1450,5357,5,1294185600
20709,1450,2274,5,1294963200
9076,1450,1031,3,1296950400
17290,1450,1923,5,1300406400
23392,1450,2579,5,1302393600
23429,1450,2586,2,1304035200
19152,1450,2112,5,1304380800
27589,1450,3043,5,1304467200
50967,1450,5593,5,1309996800
22717,1450,2510,5,1311552000
30316,1450,3342,5,1313971200
37908,1450,4188,3,1315008000
43107,1450,4744,5,1323820800
38156,1450,4215,5,1324512000
1767,1450,204,5,1325289600
8438,1450,960,4,1325635200
28044,1450,3097,4,1325635200
15365,1450,1716,3,1325635200
5872,1450,668,3,1325635200
13606,1450,1520,2,1325721600
30208,1450,3331,5,1327968000
42618,1450,4694,5,1333843200
48552,1450,5318,3,1336348800
3594,1450,393,5,1337644800
30183,1450,3328,4,1341532800
34020,1450,3743,5,1343088000
36626,1450,4034,5,1343088000
23354,1450,2572,5,1343174400
36369,1450,4006,3,1343174400
18939,1450,2090,3,1343347200
33363,1450,3679,5,1344556800
28705,1450,3175,5,1345161600
44793,1450,4934,5,1345420800
38424,1450,4240,5,1346112000
45709,1450,5024,4,1346112000
14211,1450,1583,5,1347235200
11975,1450,1348,5,1350864000
44586,1450,4917,3,1351814400
28312,1450,3132,5,1353283200
30466,1450,3369,5,1353369600
15025,1450,1665,5,1353369600
42192,1450,4649,5,1357344000
28753,1450,3179,5,1357430400
42909,1450,4725,5,1357689600
4695,1450,521,3,1357689600
34478,1450,3805,5,1357776000
31751,1450,3518,2,1357776000
